client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0035_19,0,,417,test,0.0,4.134241580963135
f0044_12,0,,249,test,0.0,4.07668399810791
f0048_00,0,,132,test,0.0,4.0881667137146
f0062_25,0,,391,test,0.025,4.0951433181762695
f0140_09,0,,286,test,0.06896551724137931,4.098228931427002
f0141_43,0,,195,test,0.0,4.126323699951172
f0153_35,0,,345,test,0.0,4.162442684173584
f0167_33,0,,358,test,0.05555555555555555,4.094361305236816
f0170_40,0,,390,test,0.0,4.091198921203613
f0181_31,0,,389,test,0.05128205128205128,4.100578308105469
f0185_23,0,,395,test,0.0,4.108821868896484
f0190_12,0,,312,test,0.125,4.105480194091797
f0207_46,0,,392,test,0.05,4.15456485748291
f0235_17,0,,311,test,0.03125,4.11080265045166
f0237_46,0,,313,test,0.0625,4.084194183349609
f0256_08,0,,423,test,0.06976744186046512,4.087309837341309
f0264_18,0,,376,test,0.0,4.168570041656494
f0273_27,0,,81,test,0.0,4.115859508514404
f0294_18,0,,133,test,0.0,4.111279010772705
f0311_48,0,,315,test,0.0,4.12581729888916
f0331_41,0,,307,test,0.03225806451612903,4.125760078430176
f0364_10,0,,326,test,0.030303030303030304,4.141456127166748
f0407_39,0,,319,test,0.0625,4.085288047790527
f0410_43,0,,330,test,0.06060606060606061,4.112409591674805
f0416_07,0,,96,test,0.0,4.080468654632568
f0437_05,0,,360,test,0.027777777777777776,4.136013507843018
f0469_20,0,,387,test,0.0,4.091719627380371
f0473_21,0,,415,test,0.023809523809523808,4.115933418273926
f0502_09,0,,394,test,0.1,4.0826239585876465
f0511_03,0,,289,test,0.0,4.164577960968018
f0585_26,0,,190,test,0.0,4.141955852508545
f0590_06,0,,5,test,0.0,4.17346715927124
f0625_26,0,,368,test,0.05405405405405406,4.093903064727783
f0627_14,0,,282,test,0.10344827586206896,4.092719554901123
f0655_10,0,,206,test,0.047619047619047616,4.114138126373291
f0676_08,0,,354,test,0.0,4.119505882263184
f0684_13,0,,274,test,0.03571428571428571,4.138058662414551
f0713_17,0,,360,test,0.027777777777777776,4.141517639160156
f0714_32,0,,257,test,0.0,4.128547191619873
f0716_15,0,,317,test,0.0,4.1328959465026855
f0728_14,0,,353,test,0.05555555555555555,4.074884414672852
f0750_18,0,,400,test,0.025,4.081565856933594
f0752_25,0,,408,test,0.0,4.149284839630127
f0766_01,0,,361,test,0.08108108108108109,4.1130475997924805
f0775_24,0,,371,test,0.0,4.125194072723389
f0779_27,0,,264,test,0.07407407407407407,4.0863447189331055
f0787_21,0,,275,test,0.07142857142857142,4.100078105926514
f0825_23,0,,22,test,0.0,4.078127384185791
f0857_21,0,,177,test,0.0,4.146017074584961
f0882_28,0,,199,test,0.05,4.07406759262085
f0899_05,0,,317,test,0.09375,4.06475830078125
f0910_22,0,,58,test,0.0,4.121028900146484
f0943_40,0,,394,test,0.0,4.128686428070068
f0961_08,0,,403,test,0.04878048780487805,4.0940260887146
f0965_28,0,,318,test,0.09375,4.078004837036133
f0973_47,0,,304,test,0.06451612903225806,4.1046528816223145
f0979_22,0,,239,test,0.0,4.072038173675537
f1016_36,0,,99,test,0.0,4.1517653465271
f1044_04,0,,345,test,0.0,4.087067127227783
f1053_00,0,,294,test,0.0,4.140198230743408
f1055_16,0,,222,test,0.0,4.126165866851807
f1099_37,0,,278,test,0.03571428571428571,4.111536502838135
f1112_30,0,,390,test,0.10256410256410256,4.075148105621338
f1118_23,0,,327,test,0.06060606060606061,4.082776069641113
f1132_19,0,,5,test,1.0,3.753060817718506
f1173_40,0,,130,test,0.07692307692307693,4.113165855407715
f1217_02,0,,305,test,0.0967741935483871,4.086795806884766
f1246_39,0,,319,test,0.0,4.146340370178223
f1314_29,0,,302,test,0.0967741935483871,4.101932525634766
f1324_40,0,,271,test,0.0,4.126500129699707
f1337_29,0,,220,test,0.0,4.141594409942627
f1343_32,0,,236,test,0.08333333333333333,4.100966930389404
f1354_22,0,,337,test,0.058823529411764705,4.125788688659668
f1386_19,0,,108,test,0.0,4.043576240539551
f1453_47,0,,308,test,0.0,4.1298089027404785
f1458_19,0,,320,test,0.0,4.116980075836182
f1465_32,0,,269,test,0.07407407407407407,4.106829643249512
f1472_37,0,,387,test,0.07692307692307693,4.08712100982666
f1500_25,0,,143,test,0.06666666666666667,4.06764554977417
f1546_05,0,,175,test,0.05555555555555555,4.076763153076172
f1591_47,0,,72,test,0.0,4.136568546295166
