client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0035_19,0,,417,test,0.047619047619047616,4.139886856079102
f0044_12,0,,249,test,0.08,4.0612030029296875
f0048_00,0,,132,test,0.07142857142857142,4.154739856719971
f0062_25,0,,391,test,0.025,4.138066291809082
f0140_09,0,,286,test,0.034482758620689655,4.157314777374268
f0141_43,0,,195,test,0.0,4.1767988204956055
f0153_35,0,,345,test,0.0,4.1949849128723145
f0167_33,0,,358,test,0.0,4.153290748596191
f0170_40,0,,390,test,0.02564102564102564,4.111589431762695
f0181_31,0,,389,test,0.02564102564102564,4.146089553833008
f0185_23,0,,395,test,0.025,4.127397060394287
f0190_12,0,,312,test,0.03125,4.1449971199035645
f0207_46,0,,392,test,0.0,4.16323709487915
f0235_17,0,,311,test,0.03125,4.139937400817871
f0237_46,0,,313,test,0.0,4.145193099975586
f0256_08,0,,423,test,0.0,4.171517848968506
f0264_18,0,,376,test,0.10526315789473684,4.1170334815979
f0273_27,0,,81,test,0.0,4.186985015869141
f0294_18,0,,133,test,0.0,4.190469264984131
f0311_48,0,,315,test,0.0,4.1665940284729
f0331_41,0,,307,test,0.0,4.105326175689697
f0364_10,0,,326,test,0.0,4.156814098358154
f0407_39,0,,319,test,0.03125,4.1876678466796875
f0410_43,0,,330,test,0.06060606060606061,4.140702724456787
f0416_07,0,,96,test,0.0,4.172080039978027
f0437_05,0,,360,test,0.0,4.18293571472168
f0469_20,0,,387,test,0.07692307692307693,4.116332530975342
f0473_21,0,,415,test,0.023809523809523808,4.1905975341796875
f0502_09,0,,394,test,0.0,4.1355414390563965
f0511_03,0,,289,test,0.06896551724137931,4.1744818687438965
f0585_26,0,,190,test,0.0,4.159648895263672
f0590_06,0,,5,test,0.0,4.304582118988037
f0625_26,0,,368,test,0.02702702702702703,4.1700639724731445
f0627_14,0,,282,test,0.0,4.152531147003174
f0655_10,0,,206,test,0.047619047619047616,4.143548965454102
f0676_08,0,,354,test,0.0,4.16578483581543
f0684_13,0,,274,test,0.0,4.16217565536499
f0713_17,0,,360,test,0.0,4.162912368774414
f0714_32,0,,257,test,0.0,4.168543815612793
f0716_15,0,,317,test,0.03125,4.120288372039795
f0728_14,0,,353,test,0.0,4.14543342590332
f0750_18,0,,400,test,0.0,4.16414213180542
f0752_25,0,,408,test,0.0,4.167872905731201
f0766_01,0,,361,test,0.0,4.1559529304504395
f0775_24,0,,371,test,0.02631578947368421,4.187282562255859
f0779_27,0,,264,test,0.0,4.147651672363281
f0787_21,0,,275,test,0.0,4.144705772399902
f0825_23,0,,22,test,0.0,4.280759334564209
f0857_21,0,,177,test,0.0,4.13480806350708
f0882_28,0,,199,test,0.0,4.162511348724365
f0899_05,0,,317,test,0.0,4.158662796020508
f0910_22,0,,58,test,0.0,4.203794479370117
f0943_40,0,,394,test,0.0,4.159779071807861
f0961_08,0,,403,test,0.0,4.18916654586792
f0965_28,0,,318,test,0.03125,4.167487621307373
f0973_47,0,,304,test,0.0,4.179095268249512
f0979_22,0,,239,test,0.041666666666666664,4.157717704772949
f1016_36,0,,99,test,0.0,4.200091361999512
f1044_04,0,,345,test,0.0,4.138067722320557
f1053_00,0,,294,test,0.03333333333333333,4.147111415863037
f1055_16,0,,222,test,0.0,4.1287946701049805
f1099_37,0,,278,test,0.0,4.1840500831604
f1112_30,0,,390,test,0.0,4.178095817565918
f1118_23,0,,327,test,0.0,4.155416011810303
f1132_19,0,,5,test,0.0,4.023005962371826
f1173_40,0,,130,test,0.0,4.122107982635498
f1217_02,0,,305,test,0.0,4.150302886962891
f1246_39,0,,319,test,0.0625,4.144122123718262
f1314_29,0,,302,test,0.0,4.143730640411377
f1324_40,0,,271,test,0.07142857142857142,4.130858421325684
f1337_29,0,,220,test,0.13636363636363635,4.133101940155029
f1343_32,0,,236,test,0.0,4.130223751068115
f1354_22,0,,337,test,0.08823529411764706,4.120868682861328
f1386_19,0,,108,test,0.0,4.191787242889404
f1453_47,0,,308,test,0.03225806451612903,4.151430130004883
f1458_19,0,,320,test,0.0,4.160668849945068
f1465_32,0,,269,test,0.0,4.162681579589844
f1472_37,0,,387,test,0.0,4.161439895629883
f1500_25,0,,143,test,0.0,4.1136860847473145
f1546_05,0,,175,test,0.0,4.130025863647461
f1591_47,0,,72,test,0.0,4.145937919616699
f1596_10,0,,149,test,0.0,4.164276599884033
f1613_27,0,,106,test,0.0,4.194930553436279
f1650_05,0,,156,test,0.0,4.105658531188965
f1668_08,0,,144,test,0.0,4.150357723236084
f1699_42,0,,157,test,0.0,4.159058570861816
f1707_05,0,,142,test,0.0,4.162899971008301
f1775_42,0,,113,test,0.0,4.140097618103027
f1777_29,0,,138,test,0.0,4.1651811599731445
f1794_07,0,,130,test,0.0,4.131363868713379
f1798_42,0,,97,test,0.0,4.152637481689453
f1807_08,0,,160,test,0.0,4.143779754638672
f1808_13,0,,130,test,0.0,4.115950107574463
f1824_18,0,,161,test,0.0,4.1819682121276855
f1827_17,0,,161,test,0.0,4.162402153015137
f1833_03,0,,179,test,0.0,4.140108108520508
f1849_46,0,,170,test,0.0,4.127439022064209
f1871_04,0,,160,test,0.0,4.161846160888672
f1901_07,0,,153,test,0.0,4.194288730621338
f1906_16,0,,173,test,0.0,4.128849506378174
f1914_02,0,,116,test,0.0,4.147085666656494
f1938_21,0,,145,test,0.0,4.1673994064331055
f1969_24,0,,52,test,0.0,4.120039939880371
f1970_32,0,,167,test,0.058823529411764705,4.164767742156982
f1972_15,0,,137,test,0.0,4.140773773193359
f1975_00,0,,128,test,0.0,4.182371616363525
f1994_21,0,,161,test,0.0,4.08974552154541
f2014_07,0,,165,test,0.0,4.158379554748535
f2048_19,0,,105,test,0.0,4.177040100097656
f2065_28,0,,3,test,0.0,4.013845920562744
f2078_03,0,,156,test,0.0,4.143811225891113
f2103_60,0,,177,test,0.0,4.183439254760742
f2122_65,0,,173,test,0.0,4.196504592895508
f2131_73,0,,180,test,0.0,4.156770706176758
f2144_67,0,,177,test,0.0,4.175329208374023
f2151_92,0,,154,test,0.0,4.171305179595947
f2193_99,0,,178,test,0.0,4.134634971618652
f2197_62,0,,142,test,0.0,4.189401149749756
f2201_80,0,,55,test,0.0,4.170734882354736
f2232_76,0,,132,test,0.0,4.155437469482422
f2257_69,0,,170,test,0.0,4.11679220199585
f2261_76,0,,173,test,0.0,4.099578380584717
f2279_94,0,,182,test,0.0,4.143054008483887
f2284_51,0,,175,test,0.0,4.184001445770264
f2291_65,0,,182,test,0.0,4.1269073486328125
f2329_94,0,,117,test,0.08333333333333333,4.110141277313232
f2355_85,0,,13,test,0.0,4.21125602722168
f2382_52,0,,179,test,0.0,4.14561128616333
f2394_84,0,,131,test,0.07142857142857142,4.123203277587891
f2395_78,0,,166,test,0.0,4.151789665222168
f2416_80,0,,169,test,0.0,4.1372246742248535
f2422_85,0,,134,test,0.0,4.165362358093262
f2429_95,0,,5,test,0.0,4.014441967010498
f2518_67,0,,168,test,0.0,4.130195617675781
f2528_69,0,,169,test,0.0,4.188791751861572
f2555_88,0,,180,test,0.0,4.166629314422607
f2560_93,0,,170,test,0.0,4.158017158508301
f2564_59,0,,154,test,0.0,4.1886138916015625
f2596_86,0,,165,test,0.0,4.111588954925537
f3119_39,0,,166,test,0.0,4.163797855377197
f3142_38,0,,180,test,0.0,4.180864334106445
f3152_47,0,,182,test,0.0,4.181374549865723
f3164_09,0,,31,test,0.0,4.082589626312256
f3178_23,0,,2,test,0.0,3.9088847637176514
f3181_10,0,,157,test,0.0,4.121501922607422
f3183_15,0,,180,test,0.0,4.173551559448242
f3185_38,0,,171,test,0.0,4.1252923011779785
f3194_31,0,,184,test,0.0,4.1519951820373535
f3202_01,0,,166,test,0.0,4.139839172363281
f3208_06,0,,172,test,0.0,4.157063007354736
f3210_22,0,,170,test,0.0,4.13776159286499
f3223_18,0,,141,test,0.0,4.206500053405762
f3244_38,0,,164,test,0.0,4.180751323699951
f3259_15,0,,180,test,0.05555555555555555,4.131417274475098
f3311_03,0,,162,test,0.0,4.168909072875977
f3326_06,0,,174,test,0.0,4.175745487213135
f3338_15,0,,168,test,0.0,4.189466953277588
f3366_32,0,,176,test,0.0,4.1623759269714355
f3436_22,0,,167,test,0.0,4.197467803955078
f3446_10,0,,174,test,0.0,4.113118648529053
f3500_08,0,,178,test,0.0,4.10588264465332
f3550_07,0,,160,test,0.0,4.156479358673096
f3558_12,0,,172,test,0.0,4.149613857269287
f3561_09,0,,173,test,0.0,4.17814826965332
f3568_48,0,,174,test,0.1111111111111111,4.122852802276611
f3576_04,0,,24,test,0.0,4.206232070922852
f3596_19,0,,171,test,0.05555555555555555,4.117460250854492
f3627_46,0,,181,test,0.0,4.153203964233398
f3634_16,0,,174,test,0.0,4.148359298706055
f3640_13,0,,164,test,0.0,4.168910980224609
f3652_48,0,,166,test,0.0,4.209090232849121
f3654_03,0,,171,test,0.0,4.170351028442383
f3669_35,0,,172,test,0.0,4.1066813468933105
f3684_46,0,,182,test,0.0,4.126641750335693
f3700_25,0,,164,test,0.0,4.155239582061768
f3701_44,0,,153,test,0.0,4.186063766479492
f3705_48,0,,125,test,0.0,4.143204212188721
f3731_07,0,,154,test,0.0,4.170992851257324
f3778_23,0,,167,test,0.0,4.1338114738464355
f3781_28,0,,173,test,0.05555555555555555,4.12387752532959
f3782_00,0,,175,test,0.1111111111111111,4.08177375793457
f3783_47,0,,183,test,0.0,4.136902332305908
f3789_16,0,,170,test,0.0,4.180886268615723
f3812_06,0,,165,test,0.0,4.158566474914551
f3816_24,0,,28,test,0.0,4.2306294441223145
f3856_34,0,,158,test,0.0625,4.11691951751709
f3889_26,0,,170,test,0.0,4.137607097625732
f3907_43,0,,169,test,0.0,4.125904083251953
f3923_00,0,,168,test,0.0,4.164474964141846
f3969_02,0,,178,test,0.0,4.166148662567139
f4013_32,0,,181,test,0.0,4.1089324951171875
f4046_46,0,,161,test,0.0,4.0900774002075195
f4053_14,0,,151,test,0.0,4.199701309204102
f4077_42,0,,8,test,0.0,4.2310309410095215
f0035_19,1,,417,train,0.05333333333333334,3.882918357849121
f0044_12,1,,249,train,0.017857142857142856,4.098687648773193
f0048_00,1,,132,train,0.05084745762711865,3.8729701042175293
f0062_25,1,,391,train,0.042735042735042736,3.873955249786377
f0140_09,1,,286,train,0.0038910505836575876,4.018396377563477
f0141_43,1,,195,train,0.12571428571428572,3.7398569583892822
f0153_35,1,,345,train,0.07096774193548387,3.8473165035247803
f0167_33,1,,358,train,0.049689440993788817,3.9040348529815674
f0170_40,1,,390,train,0.04843304843304843,3.9758174419403076
f0181_31,1,,389,train,0.045714285714285714,3.8974435329437256
f0185_23,1,,395,train,0.05070422535211268,3.939397096633911
f0190_12,1,,312,train,0.06785714285714285,3.8196511268615723
f0207_46,1,,392,train,0.03977272727272727,3.8709723949432373
f0235_17,1,,311,train,0.05017921146953405,3.855668783187866
f0237_46,1,,313,train,0.07473309608540925,3.849026918411255
f0256_08,1,,423,train,0.060526315789473685,3.868640184402466
f0264_18,1,,376,train,0.04437869822485207,3.883634567260742
f0273_27,1,,81,train,0.1527777777777778,3.4905896186828613
f0294_18,1,,133,train,0.06722689075630252,3.7731685638427734
f0311_48,1,,315,train,0.05653710247349823,3.826930284500122
f0331_41,1,,307,train,0.03260869565217391,3.8993234634399414
f0364_10,1,,326,train,0.05802047781569966,3.8069660663604736
f0407_39,1,,319,train,0.0627177700348432,3.839848041534424
f0410_43,1,,330,train,0.04713804713804714,3.8899216651916504
f0416_07,1,,96,train,0.09302325581395349,3.7385473251342773
f0437_05,1,,360,train,0.046296296296296294,3.893789291381836
f0469_20,1,,387,train,0.031609195402298854,3.967864751815796
f0473_21,1,,415,train,0.040214477211796246,3.879941463470459
f0502_09,1,,394,train,0.06779661016949153,3.8564414978027344
f0511_03,1,,289,train,0.08461538461538462,3.8162131309509277
f0585_26,1,,190,train,0.0935672514619883,3.765723943710327
f0590_06,1,,5,train,0.0,4.055510520935059
f0625_26,1,,368,train,0.03625377643504532,3.8648626804351807
f0627_14,1,,282,train,0.04743083003952569,3.8674705028533936
f0655_10,1,,206,train,0.06486486486486487,3.7488956451416016
f0676_08,1,,354,train,0.0440251572327044,3.8533475399017334
f0684_13,1,,274,train,0.04065040650406504,3.8911848068237305
f0713_17,1,,360,train,0.07407407407407407,3.8766889572143555
f0714_32,1,,257,train,0.07792207792207792,3.8053534030914307
f0716_15,1,,317,train,0.031578947368421054,3.9071412086486816
f0728_14,1,,353,train,0.03470031545741325,3.851886749267578
f0750_18,1,,400,train,0.04722222222222222,3.909334897994995
f0752_25,1,,408,train,0.043596730245231606,3.8713934421539307
f0766_01,1,,361,train,0.05555555555555555,3.855307102203369
f0775_24,1,,371,train,0.04804804804804805,3.871173620223999
f0779_27,1,,264,train,0.046413502109704644,3.833056688308716
f0787_21,1,,275,train,0.044534412955465584,3.8502633571624756
f0825_23,1,,22,train,0.05263157894736842,3.729902982711792
f0857_21,1,,177,train,0.13836477987421383,3.7420599460601807
f0882_28,1,,199,train,0.0446927374301676,3.861858606338501
f0899_05,1,,317,train,0.042105263157894736,3.868793249130249
f0910_22,1,,58,train,0.11538461538461539,3.475593328475952
f0943_40,1,,394,train,0.07344632768361582,3.8687829971313477
f0961_08,1,,403,train,0.07458563535911603,3.848057508468628
f0965_28,1,,318,train,0.055944055944055944,3.892308473587036
f0973_47,1,,304,train,0.02564102564102564,3.9308269023895264
f0979_22,1,,239,train,0.10697674418604651,3.864542245864868
f1016_36,1,,99,train,0.0898876404494382,3.7053542137145996
f1044_04,1,,345,train,0.054838709677419356,3.837848424911499
f1053_00,1,,294,train,0.05303030303030303,3.8367667198181152
f1055_16,1,,222,train,0.08040201005025126,3.837007999420166
f1099_37,1,,278,train,0.056,3.8758981227874756
f1112_30,1,,390,train,0.05982905982905983,3.8787636756896973
f1118_23,1,,327,train,0.07142857142857142,3.8493270874023438
f1132_19,1,,5,train,0.0,4.047552108764648
f1173_40,1,,130,train,0.13675213675213677,3.5972115993499756
f1217_02,1,,305,train,0.043795620437956206,3.847637891769409
f1246_39,1,,319,train,0.07317073170731707,3.8563199043273926
f1314_29,1,,302,train,0.1033210332103321,3.8154220581054688
f1324_40,1,,271,train,0.06995884773662552,3.8208913803100586
f1337_29,1,,220,train,0.06060606060606061,3.8805553913116455
f1343_32,1,,236,train,0.04245283018867924,3.8401405811309814
f1354_22,1,,337,train,0.052805280528052806,3.863797664642334
f1386_19,1,,108,train,0.05154639175257732,3.797825336456299
f1453_47,1,,308,train,0.07220216606498195,3.843869924545288
f1458_19,1,,320,train,0.06597222222222222,3.82808780670166
f1465_32,1,,269,train,0.049586776859504134,3.8819713592529297
f1472_37,1,,387,train,0.040229885057471264,3.8683717250823975
f1500_25,1,,143,train,0.1640625,3.7504115104675293
f1546_05,1,,175,train,0.10191082802547771,3.7482497692108154
f1591_47,1,,72,train,0.140625,3.7084732055664062
f1596_10,1,,149,train,0.08208955223880597,3.794616222381592
f1613_27,1,,106,train,0.06315789473684211,3.8844616413116455
f1650_05,1,,156,train,0.12142857142857143,3.7434744834899902
