client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0035_19,0,,417,test,0.0,4.133829593658447
f0044_12,0,,249,test,0.16,4.051847457885742
f0048_00,0,,132,test,0.0,4.115412712097168
f0062_25,0,,391,test,0.0,4.1329755783081055
f0140_09,0,,286,test,0.034482758620689655,4.125351428985596
f0141_43,0,,195,test,0.0,4.12322998046875
f0153_35,0,,345,test,0.0,4.150745868682861
f0167_33,0,,358,test,0.0,4.154684066772461
f0170_40,0,,390,test,0.05128205128205128,4.116541385650635
f0181_31,0,,389,test,0.05128205128205128,4.1089324951171875
f0185_23,0,,395,test,0.05,4.0894455909729
f0190_12,0,,312,test,0.0,4.121977806091309
f0207_46,0,,392,test,0.0,4.132604122161865
f0235_17,0,,311,test,0.0,4.164703845977783
f0237_46,0,,313,test,0.03125,4.127136707305908
f0256_08,0,,423,test,0.0,4.137162208557129
f0264_18,0,,376,test,0.02631578947368421,4.11802339553833
f0273_27,0,,81,test,0.0,4.0964035987854
f0294_18,0,,133,test,0.0,4.144230842590332
f0311_48,0,,315,test,0.0625,4.136208534240723
f0331_41,0,,307,test,0.0,4.147706508636475
f0364_10,0,,326,test,0.0,4.140481948852539
f0407_39,0,,319,test,0.0,4.13126277923584
f0410_43,0,,330,test,0.0,4.126484394073486
f0416_07,0,,96,test,0.0,4.138120174407959
f0437_05,0,,360,test,0.0,4.140253067016602
f0469_20,0,,387,test,0.02564102564102564,4.0876145362854
f0473_21,0,,415,test,0.0,4.116008758544922
f0502_09,0,,394,test,0.05,4.114548206329346
f0511_03,0,,289,test,0.0,4.12951135635376
f0585_26,0,,190,test,0.05263157894736842,4.143370151519775
f0590_06,0,,5,test,0.0,4.081870079040527
f0625_26,0,,368,test,0.0,4.101659774780273
f0627_14,0,,282,test,0.0,4.135769844055176
f0655_10,0,,206,test,0.0,4.124102592468262
f0676_08,0,,354,test,0.0,4.126703262329102
f0684_13,0,,274,test,0.0,4.129883289337158
f0713_17,0,,360,test,0.0,4.124775409698486
f0714_32,0,,257,test,0.038461538461538464,4.104352951049805
f0716_15,0,,317,test,0.03125,4.133821487426758
f0728_14,0,,353,test,0.027777777777777776,4.106216907501221
f0750_18,0,,400,test,0.05,4.104534149169922
f0752_25,0,,408,test,0.0,4.163625717163086
f0766_01,0,,361,test,0.02702702702702703,4.132673263549805
f0775_24,0,,371,test,0.0,4.122269153594971
f0779_27,0,,264,test,0.0,4.139875411987305
f0787_21,0,,275,test,0.0,4.11626672744751
f0825_23,0,,22,test,0.0,4.240812301635742
f0857_21,0,,177,test,0.0,4.11023473739624
f0882_28,0,,199,test,0.05,4.097215175628662
f0899_05,0,,317,test,0.03125,4.119767189025879
f0910_22,0,,58,test,0.0,4.132742404937744
f0943_40,0,,394,test,0.0,4.152788162231445
f0961_08,0,,403,test,0.0,4.138142108917236
f0965_28,0,,318,test,0.0,4.1372575759887695
f0973_47,0,,304,test,0.0,4.14231538772583
f0979_22,0,,239,test,0.0,4.136875152587891
f1016_36,0,,99,test,0.0,4.129637718200684
f1044_04,0,,345,test,0.14285714285714285,4.105039596557617
f1053_00,0,,294,test,0.0,4.124297142028809
f1055_16,0,,222,test,0.08695652173913043,4.106792449951172
f1099_37,0,,278,test,0.0,4.140605926513672
f1112_30,0,,390,test,0.0,4.128652095794678
f1118_23,0,,327,test,0.0,4.133515357971191
f1132_19,0,,5,test,0.0,4.169308662414551
f1173_40,0,,130,test,0.0,4.117761611938477
f1217_02,0,,305,test,0.0,4.143767833709717
f1246_39,0,,319,test,0.0,4.102640151977539
f1314_29,0,,302,test,0.0,4.125868797302246
f1324_40,0,,271,test,0.03571428571428571,4.11181640625
f1337_29,0,,220,test,0.0,4.0894927978515625
f1343_32,0,,236,test,0.0,4.132622718811035
f1354_22,0,,337,test,0.029411764705882353,4.138583183288574
f1386_19,0,,108,test,0.0,4.13129997253418
f1453_47,0,,308,test,0.0,4.1235761642456055
f1458_19,0,,320,test,0.0625,4.093744277954102
f1465_32,0,,269,test,0.0,4.149431228637695
f1472_37,0,,387,test,0.0,4.1163763999938965
f1500_25,0,,143,test,0.0,4.101152420043945
f1546_05,0,,175,test,0.05555555555555555,4.121664524078369
f1591_47,0,,72,test,0.0,4.126768112182617
f1596_10,0,,149,test,0.0,4.124637603759766
f1613_27,0,,106,test,0.09090909090909091,4.115502834320068
f1650_05,0,,156,test,0.0,4.162596225738525
f1668_08,0,,144,test,0.0,4.103705406188965
f1699_42,0,,157,test,0.0625,4.099830627441406
f1707_05,0,,142,test,0.0,4.113358497619629
f1775_42,0,,113,test,0.0,4.113345146179199
f1777_29,0,,138,test,0.0,4.092313766479492
f1794_07,0,,130,test,0.0,4.099330425262451
f1798_42,0,,97,test,0.0,4.153210639953613
